"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"403",2059,0.1379245,0.01,0.05,20000,1.8,25.87275,23.62934,7684.467,28.8,1.1,3715.041
"404",2060,0.1377398,0.01,0.05,20000,1.8,25.95126,23.73658,7893.225,28.8,1.1,3750.333
"405",2061,0.1375829,0.01,0.05,20000,1.8,26.02959,23.84302,8106.851,28.8,1.1,3785.587
"406",2062,0.1374952,0.01,0.05,20000,1.8,26.10773,23.94866,8326.259,28.8,1.1,3821.171
"407",2063,0.1375135,0.01,0.05,20000,1.8,26.18565,24.05349,8552.452,28.8,1.1,3857.472
"408",2064,0.1373772,0.01,0.05,20000,1.8,26.26335,24.15753,8783.05,28.8,1.1,3893.347
"409",2065,0.1376067,0.01,0.05,20000,1.8,26.34081,24.26078,9015.396,28.7,1.1,3927.608
"410",2066,0.137804,0.01,0.05,20000,1.8,26.41802,24.36323,9250.22,28.7,1.1,3960.6
"411",2067,0.13798,0.01,0.05,20000,1.8,26.49499,24.4649,9492.102,28.7,1,3994.265
"412",2068,0.1380755,0.01,0.05,20000,1.8,26.57171,24.56578,9740.309,28.7,1,4028.216
"413",2069,0.1380344,0.01,0.05,20000,1.8,26.64818,24.66589,9993.023,28.7,1,4061.651
"414",2070,0.1381589,0.01,0.05,20000,1.8,26.7244,24.76522,10249.245,28.7,1,4094.144
"415",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"416",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"417",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"418",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"419",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"420",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"421",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"422",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"423",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"424",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"425",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"426",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"427",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"428",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"429",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"430",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"431",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"432",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"433",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"434",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"435",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"436",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"437",2024,0.13837122,0.0064,0.0754,70000,1.8,24.21617,20.42193,2927.453,31.4,2,2588.508
"438",2025,0.1393376,0.0078,0.0717,70000,1.8,24.3232,20.55891,3018.603,31.3,2,2624.488
"439",2026,0.1389083,0.0061,0.064,70000,1.8,24.42843,20.69592,3119.651,31.3,2,2669.629
"440",2027,0.1382273,0.0045,0.0544,70000,1.8,24.53193,20.83325,3226.301,31.1,2,2717.415
"441",2028,0.1376198,0.0106,0.0529,70000,1.8,24.6339,20.97125,3331.017,31,1.9,2757.361
"442",2029,0.1372636,0.0106,0.0515,70000,1.8,24.73458,21.11044,3436.422,30.9,1.9,2795.689
"443",2030,0.1368567,0.0106,0.05,70000,1.8,24.83418,21.25118,3547.259,30.7,1.9,2836.226
"444",2031,0.1365477,0.01,0.05,70000,1.8,24.933,21.39392,3655.536,30.6,1.9,2872.53
"445",2032,0.1361325,0.01,0.05,70000,1.8,25.0314,21.53908,3766.745,30.5,1.8,2909.011
"446",2033,0.1362811,0.01,0.05,70000,1.8,25.12982,21.68696,3873.673,30.4,1.8,2940.137
"447",2034,0.1363346,0.01,0.05,70000,1.8,25.22871,21.8377,3984.424,30.3,1.8,2972.185
"448",2035,0.1362519,0.01,0.05,70000,1.8,25.32855,21.9913,4098.747,30.3,1.8,3004.879
"449",2036,0.1362093,0.01,0.05,70000,1.8,25.4298,22.14776,4213.431,30.2,1.7,3035.829
"450",2037,0.1361916,0.01,0.05,70000,1.8,25.53292,22.30691,4328.752,30.1,1.7,3065.277
"451",2038,0.1360345,0.01,0.05,70000,1.8,25.63817,22.46872,4448.99,30,1.7,3096.236
"452",2039,0.1357782,0.01,0.05,70000,1.8,25.74583,22.63297,4573.474,30,1.7,3128.127
"453",2040,0.1354952,0.01,0.05,70000,1.8,25.85601,22.79949,4698.649,29.9,1.6,3158.47
"454",2041,0.1352385,0.01,0.05,70000,1.8,25.96875,22.96792,4824.381,29.8,1.6,3187.212
"455",2042,0.1350479,0.01,0.05,70000,1.8,26.08402,23.13788,4952.496,29.8,1.6,3215.578
"456",2043,0.1349105,0.01,0.05,70000,1.8,26.20168,23.30874,5082.502,29.7,1.5,3243.232
"457",2044,0.134835,0.01,0.05,70000,1.8,26.32168,23.48013,5215.92,29.6,1.5,3271.124
"458",2045,0.1347439,0.01,0.05,70000,1.8,26.44387,23.65155,5351.779,29.6,1.5,3298.602
"459",2046,0.1347307,0.01,0.05,70000,1.8,26.56798,23.82251,5486.821,29.5,1.4,3323.671
"460",2047,0.1346068,0.01,0.05,70000,1.8,26.6938,23.99265,5625.828,29.4,1.4,3349.263
"461",2048,0.1344386,0.01,0.05,70000,1.8,26.82105,24.16182,5769.502,29.4,1.4,3375.722
"462",2049,0.1342474,0.01,0.05,70000,1.8,26.94946,24.33003,5919.193,29.3,1.3,3403.741
"463",2050,0.1342112,0.01,0.05,70000,1.8,27.07888,24.49728,6070.961,29.3,1.3,3430.971
"464",2051,0.1341138,0.01,0.05,70000,1.8,27.20897,24.66357,6226.62,29.2,1.3,3458.419
"465",2052,0.1339812,0.01,0.05,70000,1.8,27.33968,24.82891,6388.172,29.2,1.3,3487.124
"466",2053,0.1338276,0.01,0.05,70000,1.8,27.47095,24.99331,6555.214,29.1,1.2,3516.764
"467",2054,0.1336295,0.01,0.05,70000,1.8,27.60272,25.15678,6728.626,29.1,1.2,3547.712
"468",2055,0.1333513,0.01,0.05,70000,1.8,27.73491,25.31931,6909.364,29,1.2,3580.351
"469",2056,0.1330874,0.01,0.05,70000,1.8,27.86748,25.48094,7092.847,29,1.2,3612.216
"470",2057,0.1327454,0.01,0.05,70000,1.8,28.00035,25.64165,7283.368,28.9,1.2,3645.448
"471",2058,0.1324088,0.01,0.05,70000,1.8,28.13345,25.80147,7480.489,28.9,1.1,3679.715
"472",2059,0.1320154,0.01,0.05,70000,1.8,28.26671,25.96041,7684.467,28.8,1.1,3715.041
"473",2060,0.1317158,0.01,0.05,70000,1.8,28.40008,26.11847,7893.225,28.8,1.1,3750.333
"474",2061,0.1314865,0.01,0.05,70000,1.8,28.53352,26.27567,8106.851,28.8,1.1,3785.587
"475",2062,0.1313012,0.01,0.05,70000,1.8,28.667,26.43202,8326.259,28.8,1.1,3821.171
"476",2063,0.1311899,0.01,0.05,70000,1.8,28.8005,26.58753,8552.452,28.8,1.1,3857.472
"477",2064,0.1311794,0.01,0.05,70000,1.8,28.93399,26.74222,8783.05,28.8,1.1,3893.347
"478",2065,0.1312838,0.01,0.05,70000,1.8,29.06746,26.89611,9015.396,28.7,1.1,3927.608
"479",2066,0.1313983,0.01,0.05,70000,1.8,29.2009,27.04919,9250.22,28.7,1.1,3960.6
"480",2067,0.1314995,0.01,0.05,70000,1.8,29.33431,27.2015,9492.102,28.7,1,3994.265
"481",2068,0.1316012,0.01,0.05,70000,1.8,29.46767,27.35304,9740.309,28.7,1,4028.216
"482",2069,0.1317502,0.01,0.05,70000,1.8,29.60098,27.50384,9993.023,28.7,1,4061.651
"483",2070,0.131999,0.01,0.05,70000,1.8,29.73426,27.65389,10249.245,28.7,1,4094.144
"484",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"485",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"486",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"487",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"488",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"489",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"490",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"491",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"492",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
